"Позначка часу","1. Ваш вік:","2. Ваша стать:","3. Сфера вашої діяльності:","4. Чи цікавились Ви діяльністю громадських організацій?","5. На скільки добре Ви обізнані в діяльності громадських організацій?","6. Чи приймали Ви участь в громадській організації?","7. Якщо на питання 6 Ви відповіли ТАК тоді: якого типу це була організація?","8. Якщо на питання 6 Ви відповіли НІ тоді вкажіть причини:","9. На даний момент, чи є Ви членом громадської організації?","10. Чи приймали Ви участь в одноразовій акції?","11. Чи є хтось з Ваших знайомих членом громадської організацій?","12. В організації якого типу Ви б захотіли прийняти участь? (якщо б у Вас був
час і можливість)","13. На Вашу думку, чи є в Україні потреба в створенні значної кількості
громадських організацій?","14. На вашу думку, чи варто проводити більш маштабні акції агітації, для
залучення більшої кількості людей?"
"2022/09/12 9:00:23 пп GMT+3","16-23 років","Жіноча","Працюючий","Так, інколи","Орієнтуюсь, приймав/ла участь в одній організації","Так","Молодіжна організація","","Ні","Так","Так, декілька","Творчі об'єднання","Так, оскільки за допомогою них можна реалізувати себе","Так, за умови відсутності пропаганди діяльності цієї організації"
"2022/09/12 9:17:33 пп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","","Ні","Ні","Ні, жодного","Молодіжна організація","Так, оскільки вони покликані допомагати","Якщо це законно і відстоює благодійні справи"
"2022/09/13 12:20:28 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Так","Молодіжна організація","","Ні","Так","Ні, жодного","Молодіжна організація","Так, оскільки за допомогою них можна реалізувати себе","Так, за умови відсутності пропаганди діяльності цієї організації"
"2022/09/13 8:56:12 дп GMT+3","16-23 років","Жіноча","Студент","Так, часто","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","","Ні","Ні","Так, декілька","Молодіжна організація","Так, оскільки вони покликані допомагати","Так"
"2022/09/13 10:43:01 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Не мав/ла часу","Ні","Ні","Ні, жодного","Творчі об'єднання","Так, оскільки за допомогою них можна реалізувати себе","Можливо"
"2022/09/13 10:43:21 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Не мав/ла змоги","Ні","Так","Так, декілька","Молодіжна організація","Так, оскільки вони покликані допомагати","Так"
"2022/09/13 10:44:22 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","","Не мав/ла часу","Ні","Ні","Так, декілька","Молодіжна організація","Так, оскільки за допомогою них можна реалізувати себе","Так"
"2022/09/13 10:44:25 дп GMT+3","16-23 років","Чоловіча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Ні","Молодіжна організація","Не мав/ла змоги","Ні","Так","Так, один","Молодіжна організація","Так, оскільки вони покликані допомагати","Так, за умови відсутності пропаганди діяльності цієї організації"
"2022/09/13 10:45:05 дп GMT+3","16-23 років","Жіноча","Студент","Так, інколи","В середньому, ніколи не приймав/ла участь, але цікавився/лась.","Так","Молодіжна організація","","Ні","Ні","Ні, жодного","Творчі об'єднання","Так, оскільки за допомогою них можна реалізувати себе","Так, за умови відсутності пропаганди діяльності цієї організації"
"2022/09/13 10:45:12 дп GMT+3","16-23 років","Жіноча","Студент","Ні, ніколи","Не сильно, щось чув/ла, але не цікавився/лася.","Ні","","Не цікаво","Ні","Так","Ні, жодного","Жіночі громадські об&#39;єднання","Так, оскільки за допомогою них можна реалізувати себе","Так"
